M;AVI12;1;;ABATPAR;2;
M;AVI12;1;;ADILNG;2;
M;AVI12;1;;ADPVAL;2;
M;AVI12;1;;AIFIMPGENFIC;2;
M;AVI12;1;;AIMP;2;
M;AVI12;1;;APRSMSK;2;
M;AVI12;1;;ARCVISU;2;CMS
M;AVI12;1;;ARCVISUOBJ;2;CMS
M;AVI12;1;;AVOCAB;2;
M;AVI12;1;;BOMPRN;2;
M;AVI12;1;;BOMRET;2;
M;AVI12;1;;CASNOMENP;2;
M;AVI12;1;;CASNOMENS;2;
M;AVI12;1;;CNSXTPS;2;
M;AVI12;1;;CODACC;2;
M;AVI12;1;;CODCTL;2;
M;AVI12;1;;COMBOS;2;
M;AVI12;2;AVIA1;CONSALLG;2;
M;AVI12;2;AVIA1;CONSCOL;2;
M;AVI12;1;;CONSLLC;2;
M;AVI12;2;AVIA1;CONSMFG;2;
M;AVI12;2;AVIA1;CONSMKI;2;
M;AVI12;2;AVIA1;CONSMKM;2;
M;AVI12;2;AVIA1;CONSMKO;2;
M;AVI12;2;AVIA1;CONSMWK;2;
M;AVI12;1;;CONSOIT;2;
M;AVI12;2;AVIA1;CONSOPX;2;
M;AVI12;2;AVIA1;CONSORD;2;
M;AVI12;2;AVIA1;CONSORD7;2;
M;AVI12;2;AVIA1;CONSPRH;2;
M;AVI12;2;AVIA1;CONSSAD;2;
M;AVI12;2;AVIA1;CONSSAG;2;
M;AVI12;2;AVIA1;CONSSAR;2;
M;AVI12;2;AVIA1;CONSSAT;2;
M;AVI12;2;AVIA1;CONSSBI;2;
M;AVI12;2;AVIA1;CONSSBII;2;
M;AVI12;2;AVIA1;CONSSBP;2;
M;AVI12;2;AVIA1;CONSSCB;2;
M;AVI12;2;AVIA1;CONSSCBCB;2;
M;AVI12;2;AVIA1;CONSSCBCB1;2;
M;AVI12;2;AVIA1;CONSSCBPD;2;
M;AVI12;2;AVIA1;CONSSCBPD1;2;
M;AVI12;2;AVIA1;CONSSCI;2;
M;AVI12;2;AVIA1;CONSSDA;2;
M;AVI12;2;AVIA1;CONSSDE;2;
M;AVI12;2;AVIA1;CONSSDI;2;
M;AVI12;2;AVIA1;CONSSDI1;2;
M;AVI12;2;AVIA1;CONSSDO;2;
M;AVI12;2;AVIA1;CONSSEA;2;
M;AVI12;2;AVIA1;CONSSED;2;
M;AVI12;2;AVIA1;CONSSFC;2;
M;AVI12;1;;CONSSH3;2;
M;AVI12;2;AVIA1;CONSSHO;2;
M;AVI12;2;AVIA1;CONSSHQ;2;
M;AVI12;2;AVIA1;CONSSHS;2;
M;AVI12;2;AVIA1;CONSSHTG;2;
M;AVI12;2;AVIA1;CONSSII;2;
M;AVI12;2;AVIA1;CONSSLO;2;
M;AVI12;1;;CONSSMA;2;
M;AVI12;2;AVIA1;CONSSMJ;2;
M;AVI12;2;AVIA1;CONSSMQ;2;
M;AVI12;2;AVIA1;CONSSMV;2;
M;AVI12;2;AVIA1;CONSSOE;2;
M;AVI12;2;AVIA1;CONSSPE;2;
M;AVI12;2;AVIA1;CONSSPR;2;
M;AVI12;2;AVIA1;CONSSPR1;2;
M;AVI12;1;;CONSSRF;2;
M;AVI12;2;AVIA1;CONSSSE;2;
M;AVI12;2;AVIA1;CONSSST;2;
M;AVI12;1;;CONSSTK;2;
M;AVI12;2;AVIA1;CONSSXT;2;
M;AVI12;1;;CONSXCT;2;
M;AVI12;2;AVIA1;COPYGAMME;2;
M;AVI12;1;;COPYNOMEN;2;
M;AVI12;1;;CREITFMA;2;
M;AVI12;1;;DIVTSI;2;CMNS
M;AVI12;1;;EVCBAT;2;CMS
M;AVI12;2;AVIA1;EXEALH;2;
M;AVI12;1;;EXEALHGRP;2;
M;AVI12;2;AVIA1;FUNADRVAL;2;
M;AVI12;2;AVIA1;FUNANL;2;
M;AVI12;2;AVIA1;FUNAUTDLV2;2;
M;AVI12;2;AVIA1;FUNAUTPREP;2;
M;AVI12;2;AVIA1;FUNBENCHI;2;
M;AVI12;2;AVIA1;FUNBENCHM;2;
M;AVI12;2;AVIA1;FUNBENCHO;2;
M;AVI12;2;AVIA1;FUNBENCHR;2;
M;AVI12;2;AVIA1;FUNBENCHT;2;
M;AVI12;2;AVIA1;FUNBENPLT;2;
M;AVI12;2;AVIA1;FUNCALREO;2;
M;AVI12;2;AVIA1;FUNCFMDLV2;2;
M;AVI12;1;;FUNCHGITG;2;
M;AVI12;2;AVIA1;FUNCHGVAL;2;
M;AVI12;2;AVIA1;FUNCPTITH;2;
M;AVI12;2;AVIA1;FUNCTLBPR;2;
M;AVI12;1;;FUNCUSSEA;2;
M;AVI12;2;AVIA1;FUNDBENCH;2;AMJP
M;AVI12;2;AVIA1;FUNGBENCH;2;AMJ
M;AVI12;2;AVIA1;FUNGLOAD;2;
M;AVI12;2;AVIA1;FUNIPTD;2;
M;AVI12;2;AVIA1;FUNITC;2;CMS
M;AVI12;1;;FUNLBEIMP;2;
M;AVI12;2;AVIA1;FUNLOCS;2;
M;AVI12;2;AVIA1;FUNMANL;2;
M;AVI12;2;AVIA1;FUNMAUTMTO;2;
M;AVI12;2;AVIA1;FUNMCLOSE;2;
M;AVI12;2;AVIA1;FUNMCOV;2;
M;AVI12;2;AVIA1;FUNMDESMTO;2;
M;AVI12;2;AVIA1;FUNMLINK;2;AMJ
M;AVI12;2;AVIA1;FUNMPICK;2;
M;AVI12;2;AVIA1;FUNMPS;2;
M;AVI12;2;AVIA1;FUNMREACT;2;
M;AVI12;2;AVIA1;FUNMRP;2;
